,year,period,calls,reported,month,day,date,NaN
0,2015,Semester 1,1317.0,24403,1,1,2015-01-01,
1,2015,Semester 2,1486.0,24550,7,1,2015-07-01,
2,2016,Semester 1,1351.0,25507,1,1,2016-01-01,
3,2016,Semester 2,1548.0,25276,7,1,2016-07-01,
4,2017,Semester 1,1448.0,25001,1,1,2017-01-01,
5,2017,Semester 2,1532.0,25450,7,1,2017-07-01,
6,2018,Semester 1,1518.0,25448,1,1,2018-01-01,
7,2018,Semester 2,1629.0,26351,7,1,2018-07-01,
8,2019,Semester 1,1662.0,25540,1,1,2019-01-01,
9,2019,Semester 2,1676.0,25627,7,1,2019-07-01,
10,2020,Semester 1,1602.0,22669,1,1,2020-01-01,
